borrower_id,age,gender,income,employment_duration,housing_status,loan_amount,tenure,credit_score,previous_defaults,debt_to_income_ratio,default
1,59,Male,55565.97958255663,263,Own,23282.5045832908,60,621,0,0.37545865378326726,0
2,49,Female,43901.555752853455,224,Rent,23656.562823655288,60,377,0,0.38937222953318706,1
3,35,Male,63984.611614402806,122,Mortgage,15876.736493006398,24,354,0,0.10413062331505021,0
4,63,Female,25666.815749462978,37,Own,12712.039814820782,12,370,0,0.4263898777260964,1
5,28,Male,82578.76451287151,122,Mortgage,18373.357988552798,12,367,0,0.25317621070402474,0
6,41,Male,17842.103871418614,317,Rent,16024.653595930555,36,479,0,0.3567081719095986,0
7,59,Female,45114.38120446932,155,Own,14039.703034023343,48,679,0,0.36553369143329884,0
8,39,Male,58685.921519907206,393,Own,18666.888756549753,12,749,2,0.3961122633856764,0
9,43,Male,36273.2630613035,300,Rent,4341.166588375807,48,560,0,0.5117696952777211,0
10,31,Male,33131.969030859254,320,Mortgage,17670.095256804176,36,746,0,0.2494673192896665,0
11,31,Female,54444.71273261048,66,Own,13892.000477798882,24,430,3,0.2280806921019047,1
12,44,Male,51555.19839982161,392,Own,7853.837410975064,24,533,0,0.4979044239213105,0
13,56,Male,50118.76338830299,132,Rent,21406.272674842265,48,453,1,0.4593592853305476,1
14,60,Male,67173.77022931252,361,Rent,32951.826891409626,48,629,1,0.2128074689211419,1
15,44,Male,42110.54613143957,393,Rent,27780.697116583917,12,352,0,0.10041817818778256,0
16,23,Male,56391.85299590009,139,Mortgage,12173.850635869316,36,767,0,0.43296815887834106,0
17,42,Male,39867.9438344837,81,Mortgage,21643.974803905665,24,712,0,0.17858901345286862,0
18,22,Female,33013.41028341184,57,Mortgage,23433.868131894505,12,313,0,0.5784981409046974,1
19,44,Female,44304.82743019963,148,Rent,16191.717629351113,60,795,2,0.40220364169769784,1
20,64,Male,40024.69625612737,404,Own,14760.051966458934,12,816,0,0.5248259107619189,0
21,50,Female,41023.92397674437,448,Mortgage,18437.594278450604,48,667,2,0.5028107591260457,1
22,58,Female,73306.54835604323,130,Rent,40125.78834065139,60,838,0,0.3788988623384979,0
23,22,Male,44917.93091928892,68,Mortgage,17573.172913665643,12,751,2,0.31917535680878995,1
24,41,Female,36741.8665544027,344,Own,2325.791077551434,36,840,0,0.34839920404792946,0
25,53,Female,50561.575480959815,249,Own,4537.069389807661,24,814,0,0.5014943702284393,0
26,32,Female,52084.55878256815,319,Rent,13288.084156080664,60,780,0,0.42022535277250095,0
27,42,Female,26262.375408118573,176,Own,2531.161269610362,36,713,0,0.20285859050412733,0
28,64,Female,44031.87456152313,71,Rent,13674.82276018896,12,527,0,0.4046775598327942,0
29,45,Female,43226.31351802806,16,Rent,37252.10664386909,48,436,0,0.30233328946805793,0
30,69,Female,46557.11452583053,328,Rent,9885.674291873887,48,539,0,0.13064875364212294,0
31,47,Female,64510.56746075971,159,Rent,4127.166498056487,36,771,0,0.29063459688478854,0
32,62,Male,52733.43742325765,69,Own,12924.2162187032,48,817,0,0.21380076561436281,0
33,48,Male,74558.74694770662,112,Own,13960.512339371428,24,760,0,0.5192922668920841,0
34,36,Female,49766.79288222369,231,Own,5111.725977932527,36,604,0,0.15249973096132127,0
35,35,Female,85521.74560760127,20,Own,2616.3476887287943,36,480,0,0.28031172465171283,0
36,67,Male,40784.49972536694,134,Rent,28562.51046698584,48,329,1,0.44774599065387266,1
37,64,Female,34608.752376697514,262,Rent,20007.640352981667,36,339,1,0.5486959588701512,1
38,23,Female,60946.053495539476,110,Own,10172.59873124642,12,486,0,0.26765835502915825,0
39,57,Male,77281.63874930036,245,Mortgage,3445.95329215687,60,618,0,0.4032192628996575,0
40,27,Male,22423.933908295472,282,Mortgage,9825.583405784764,60,526,0,0.286824795034911,0
41,41,Male,46060.187035713694,7,Mortgage,2739.640793126264,48,623,0,0.20144056769094545,0
